Name,Latitude,Longitude,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,area-km2
San Ramon,37.779928,-121.978014,1852,87700,93613,102361,116468,24
Sand City,36.617183,-121.848286,1987,,110642,151088,176320,93
Sanger,36.708006,-119.555964,1866,41483,49040,54593,59946,22
Santa Ana,33.745572,-117.867833,1957,14520,15520,16413,16223,90
Santa Barbara,34.420831,-119.698189,1905,39685,61284,77423,99553,13
Santa Clara,37.354108,-121.955236,1886,88314,86905,84084,89736,99
Santa Clarita,34.391664,-118.542586,1902,20658,25062,28598,29321,17
Santa Cruz,36.974117,-122.030797,1868,82658,113313,147595,167815,88
Santa Fe Springs,33.947236,-118.085344,1980,,52902,52975,53413,48
Santa Maria,34.953033,-120.435719,1956,29261,28061,29843,29926,57
Santa Monica,34.019453,-118.491192,1893,7338,7152,7330,7061,11
Santa Paula,34.354167,-119.059269,1966,6891,8615,11385,11580,58
Santa Rosa,38.440467,-122.714431,1915,25975,25098,24157,24168,32
Santee,32.838383,-116.973917,1954,36567,38901,33097,33025,74
Saratoga,37.263833,-122.023014,1902,5595,7004,7774,7379,26
Sausalito,37.859094,-122.48525,1893,10942,14757,19444,23219,24
Scotts Valley,37.051061,-122.014683,1938,7010,8409,12736,16988,17
Seal Beach,33.741406,-118.104786,1907,10837,10762,10578,10917,87
Seaside,33.819361,-118.366647,1924,5734,8371,9333,11016,35
Sebastopol,38.402136,-122.823881,1969,77500,100217,111351,124237,18
Selma,36.570783,-119.612075,1986,,12962,12979,12867,41
Shafter,35.500514,-119.271775,1921,3091,7146,23015,25738,84
Shasta Lake,40.680428,-122.370842,1985,,4741,5332,5245,16
Sierra Madre,34.161672,-118.052847,1883,6054,8121,9128,10648,56
Signal Hill,33.804461,-118.167847,1851,3247,4153,4423,4903,16
Simi Valley,34.269447,-118.781483,1958,16623,20850,21144,20116,50
Solana Beach,32.991156,-117.271147,1923,66784,86284,96375,94396,42
Soledad,32.991156,-117.271147,1965,20681,21586,23609,21403,47
Solvang,34.595819,-120.137647,1888,22681,23936,24292,25619,50
Sonoma,38.291858,-122.458036,1908,49393,54312,60552,63632,70
Sonora,37.984092,-120.382139,1876,4898,4990,5950,5814,81
South El Monte,34.051956,-118.046733,1911,23723,30491,37403,38186,7
South Gate,33.954736,-118.212017,1850,148283,210943,243771,291707,7
South Lake Tahoe,38.939925,-119.977186,1868,11087,22686,26118,28111,86
South Pasadena,34.116119,-118.15035,1912,106618,117229,131760,140081,21
South San Francisco,37.654656,-122.40775,1900,6520,7279,17428,17947,60
St. Helena,38.505242,-122.470386,1913,1705,1835,2303,2501,9
Stanton,33.802517,-117.993117,1910,5316,5902,8811,9327,26
Stockton,37.957703,-121.290781,1909,4126,5791,11125,14414,26
Suisun City,38.238247,-122.040244,1906,365,401,432,418,22
Sunnyvale,37.368831,-122.03635,1989,,27099,57716,100097,84
Susanville,40.416283,-120.653006,1960,28972,31100,33377,35558,94
Sutter Creek,38.392967,-120.802436,1964,77072,104352,117005,126683,72
Taft,35.142467,-119.456508,1964,6685,7532,8666,8962,77
Tehachapi,35.132189,-118.448975,1921,129881,133107,137946,145438,93
Tehama,40.027103,-122.123322,1910,18428,33558,56929,82922,83
Temecula,33.493639,-117.148364,1870,379,362,311,367,47
Temple City,34.107231,-118.057847,1888,22530,33249,43994,59278,73
Thousand Oaks,34.107231,-118.057847,1937,783,1010,1020,1010,55
Torrance,33.83585,-118.340628,1908,26287,42198,55810,68549,42
Tracy,37.73965,-121.425222,1927,32256,50689,67504,75540,16
Trinidad,41.059292,-124.143125,1987,,11821,14764,25048,92
Tulare,36.207728,-119.347339,1876,12035,14599,15497,16075,78
Tulelake,41.955989,-121.477492,1959,39406,53762,66869,69516,4
Turlock,37.494658,-120.846594,1906,47647,63374,68393,73732,87
Tustin,33.74585,-117.826167,1892,43367,71479,88625,92428,50
Twentynine Palms,34.135558,-116.054169,1868,80303,109199,116760,115942,87
Ukiah,39.150172,-123.207783,1866,73774,92575,100916,106433,51
Union City,37.593392,-122.043831,1905,90,152,91,112,37
Upland,34.097511,-117.648389,1962,14220,40674,64029,115903,16
Vacaville,38.356578,-121.987744,1962,7137,6299,5952,5812,100
Vallejo,38.104086,-122.256636,1874,49729,75636,91877,124442,60
Ventura,34.274639,-119.229006,1963,35834,71872,89857,93834,18
Vernon,34.003903,-118.230072,1959,12478,29105,30004,29172,77
Victorville,34.536108,-117.291158,1914,53490,60569,64296,64173,14
Villa Park,33.814461,-117.813111,1945,9613,12412,21263,25545,14
Visalia,36.330228,-119.292058,1969,2683,4771,6924,8456,89
Vista,33.200036,-117.242536,1868,23662,31099,44265,51199,88
Walnut,34.020289,-117.865339,1961,2879,3062,2978,2967,35
Walnut Creek,37.910078,-122.065183,1923,81292,96086,105080,106098,94
Wasco,35.594125,-119.340947,1984,,36118,35794,34399,91
Waterford,37.641319,-120.760483,1987,,28898,31615,48744,82
Watsonville,36.910231,-121.756894,1981,,7455,8368,8270,45
Weed,41.42265,-122.386128,1957,71133,78118,88207,89701,8
West Covina,34.068622,-117.938953,1934,1590,1380,2131,2225,16
West Hollywood,34.090008,-118.361744,1874,1474,1631,2275,3456,59
West Sacramento,38.580461,-121.530233,1898,68558,77671,83680,85331,55
Westlake Village,34.145839,-118.805647,1920,1658,2297,3670,5123,8
Westminster,33.751342,-117.993992,1888,4008,5027,5073,4888,8
