Name,Latitude,Longitude,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,area-km2
Laguna Niguel,33.522525,-117.707553,1989,,6841,10445,18023,73
Laguna Woods,33.6103,-117.725331,1959,23460,27331,31711,32769,85
Lake Elsinore,33.668078,-117.327261,1977,20780,23984,24918,25320,88
Lake Forest,33.646967,-117.689217,1900,8832,13622,19712,24531,16
Lakeport,39.04295,-122.915828,1890,4132,7248,11205,42819,56
Lakewood,33.853628,-118.133956,1910,6936,8338,10297,11768,42
Lancaster,34.686786,-118.154164,1947,3103,4320,6229,8392,37
Larkspur,37.934092,-122.535253,1876,48349,56741,73345,80968,10
Lathrop,37.822706,-121.276611,1922,5326,7317,10473,13058,71
Lawndale,33.887236,-118.352575,1906,35221,51874,56999,62134,87
Lemon Grove,32.742553,-117.031417,1970,10694,17400,18681,23261,85
Lemoore,36.300783,-119.782911,1964,18807,19382,20046,20256,45
Lincoln,38.891564,-121.293008,1888,26267,37649,41103,42434,68
Lindsay,36.203006,-119.088161,"i. 1888/ d.1896/ 
ri. 1897",361355,429433,461522,462257,87
Live Oak,36.983561,-121.980517,1984,,5705,6260,6430,55
Livermore,37.681875,-121.768008,1960,11529,11676,11536,11449,23
Livingston,37.386883,-120.723533,1952,25769,26303,27693,28976,51
Lodi,38.134147,-121.272219,1956,7421,7514,7902,7922,52
Loma Linda,34.048347,-117.261153,1850,2968579,3485398,3694742,3792621,22
Lomita,33.792239,-118.315072,1907,10341,14519,25869,35972,48
Lompoc,34.63915,-120.457942,1887,26906,27357,28592,29413,44
Long Beach,33.768322,-118.195617,1901,1030,931,862,769,65
Los Alamitos,33.803072,-118.072564,1921,48409,61945,69845,69772,80
Los Altos,33.796331,-118.118119,1907,21732,29281,43207,61416,25
Los Angeles,34.052233,-118.243686,1984,3929,4785,7093,8234,81
Los Banos,37.058278,-120.849914,1912,31542,32063,33852,35135,84
Loyalton,39.676294,-120.241039,1918,24925,40773,49258,67096,5
Lynwood,33.930292,-118.211461,1911,946,1193,1111,1154,43
Madera,36.961336,-120.060717,1975,20647,26436,18925,19718,94
Malibu,34.005008,-118.810172,1876,22582,31808,35866,35824,74
Manhattan Beach,33.884736,-118.410908,1851,9898,12324,12268,12072,11
Manteca,37.797428,-121.216053,1924,21810,27850,28083,27395,62
Maricopa,35.058858,-119.40095,1957,5151,7005,9837,12707,72
Marina,36.684403,-121.802172,1942,5038,6821,7890,11014,13
Martinez,38.019367,-122.134133,1927,26438,28040,30785,32026,16
Marysville,39.145725,-121.591356,1889,36499,56216,63893,78958,68
Maywood,33.986681,-118.18535,1900,12967,13038,13600,13903,45
McFarland,35.678011,-119.229275,1948,20058,20412,20718,21532,22
Mendota,36.753561,-120.381558,1954,37820,50686,62698,66790,35
Menifee,33.678333,-117.166944,1988,,72820,93102,93305,11
Menlo Park,37.453828,-122.182186,1884,106963,164730,188856,201165,54
Merced,37.302164,-120.482967,1887,30531,35761,36929,36590,3
Mill Valley,37.906036,-122.544975,1909,1285,1415,1456,1443,66
Millbrae,37.598547,-122.387194,1956,22628,28434,33049,36664,81
Milpitas,37.428272,-121.906625,1957,3434,3287,3483,3341,30
Mission Viejo,33.600022,-117.671994,1920,52929,59564,62150,62500,95
Modesto,37.639097,-120.996878,1890,27558,31954,29696,27810,58
Monrovia,34.144428,-118.001947,1916,54338,60738,60051,60269,66
Montague,41.728197,-122.5278,1983,,25494,31415,34421,37
Montclair,34.077511,-117.689778,1974,15014,15852,16290,16016,81
Monte Sereno,37.236333,-121.992458,1984,,118779,142381,193365,23
Montebello,34.016506,-118.113753,1906,17060,23928,33556,37882,21
Monterey,36.600239,-121.894675,1964,9064,9664,10350,10234,77
Monterey Park,34.062511,-118.122847,1905,2837,3460,3621,3394,38
Moorpark,34.144897,-118.268742,1902,58655,67460,70708,74066,97
Moreno Valley,33.942467,-117.229672,1872,50879,61842,72585,76915,91
Morgan Hill,37.1305,-121.654389,1887,48772,54249,54260,58582,43
Morro Bay,35.365808,-120.8499,1913,4120,5191,4830,4844,76
Mount Shasta,41.410806,-122.194575,1856,2431,2855,3001,3068,42
Mountain View,37.386053,-122.08385,1955,32126,37861,42471,42573,60
Murrieta,33.553914,-117.213922,1908,2785,4151,7093,10224,78
Napa,38.297539,-122.286864,1906,62556,66643,70032,85186,85
National City,32.678108,-117.099197,1964,19732,23302,24157,27063,62
Needles,34.848061,-114.614133,1957,84901,94279,104323,105549,51
Nevada City,39.261561,-121.016058,1960,43916,47585,47630,51904,42
Newark,37.529658,-122.040239,1906,8474,11961,15503,20675,98
Newman,37.313828,-121.020761,1852,339337,372242,399484,390724,12
Newport Beach,33.618911,-117.928947,1888,76698,128398,161029,167086,88
Norco,33.931125,-117.548661,1921,6816,7613,7862,7461,86
Norwalk,33.902236,-118.081733,1891,88820,133179,158007,163924,95
